district,male_mean_age_4,male_mean_education_4,male_pct_no_education_4,male_pct_higher_education_4,male_literacy_rate_4,male_urban_share_4,male_mean_wealth_index_4,male_mean_hh_size_4,male_pct_married_4,male_pct_has_mobile_4,male_pct_has_bank_account_4,male_mean_digital_access_4,n_men_4,female_mean_age_4,female_mean_education_4,female_pct_no_education_4,female_literacy_rate_4,female_urban_share_4,female_mean_wealth_index_4,female_mean_hh_size_4,female_mean_children_u5_4,female_pct_married_4,female_pct_breastfeeding_4,female_pct_has_mobile_4,female_mean_digital_access_4,n_women_4,digital_gender_gap_mobile_4,digital_gender_gap_score_4,mean_education_4,mean_age_4,urban_share_4,mean_hh_size_4,mean_wealth_index_4,n_total_4,education_gender_gap_4,literacy_gender_gap_4,state,digital_gender_gap_5,f_mean_age_5,f_mean_education_5,f_mean_yrs_edu_5,f_pct_literate_5,f_mean_wealth_idx_5,f_mean_wealth_scr_5,f_pct_urban_5,f_pct_rural_5,f_mean_hh_size_5,f_pct_married_5,f_pct_never_married_5,f_pct_divorced_5,f_pct_has_mobile_5,f_pct_mobile_fin_5,f_mean_bf_dur_5,f_mean_bf_months_5,f_pct_ever_breastfed_5,f_pct_early_bf_5,f_n_respondents_5,m_mean_age_5,m_mean_yrs_edu_5,m_pct_no_edu_5,m_literacy_rate_5,m_urban_share_5,m_mean_wealth_idx_5,m_mean_hh_size_5,m_pct_married_5,m_pct_in_union_5,m_pct_live_partner_5,m_pct_owns_mobile_5,m_pct_has_bank_account_5,m_pct_currently_working_5,m_pct_dv_goes_out_5,m_pct_dv_neglect_5,m_pct_dv_argues_5,m_pct_dv_sex_5,m_pct_dv_food_5,m_pct_dv_unfaith_5,m_pct_dv_disresp_5,m_pct_any_dv_5,m_pct_owns_house_5,m_pct_owns_land_5,m_pct_smokes_cigarettes_5,m_pct_smokes_bidis_5,m_pct_uses_tobacco_5,m_pct_drinks_alcohol_5,m_pct_drinks_freq_5,m_pct_father_beat_5,m_pct_wife_emp_5,m_n_respondents_5
ganderbal,32.114914,10.364247,9.6387672,51.322876,167.62755,17.939228,337285.2416,5.8469748,57.807053,97.706345,92.091988,1.7639966,32.08082169,29.313738,6.4448404,36.695675,120.04562,25.550953,35402.63795,6.4449644,0.58193898,60.537548,16.141623,49.903343,1.5744137,162.7199637,47.803001,0.18958294,7.0903091,29.775051,21.74509,6.1459694,85118.258,194.80078,3.9194069,47.581924,jammu & kashmir,36.121445,29.689219,1.4206368,6.8679008,65.919464,3.1501825,263972.3349,15.616179,84.38382,5.7781205,60.332321,38.341946,1.3257343,61.5849,13.647263,77.558418,27.764963,22.824833,63.464211,151.6039113,32.114914,10.364247,9.6387672,86.168175,17.939228,337285.25,5.8469748,57.807053,57.807053,98.817299,97.706345,92.091988,71.922478,38.866589,25.895506,36.180283,21.452347,21.622648,37.999851,43.111122,68.240967,64.157585,59.508728,38.931606,2.602212,40.850136,0.0,0.0,15.021467,6.4446559,32.08082169
pulwama,32.564201,11.786759,3.2780805,54.424358,179.89941,4.8065825,547876.6713,4.9524355,57.46104,95.691765,92.360184,2.3418124,51.12064646,30.369041,7.4223795,28.496405,134.35242,5.6032205,49264.1501,5.9424129,0.42975563,60.204041,12.869522,51.706768,1.4920691,247.6236225,43.984997,0.84974325,8.1692057,30.744675,5.2049017,5.4474239,134585.94,298.74426,4.3643799,45.546997,jammu & kashmir,21.599915,30.112158,1.7249135,8.518425,77.643852,3.5614088,527673.5041,4.4379368,95.562065,5.3644705,57.180492,41.856907,0.9626013,74.09185,12.77091,69.698402,29.479708,35.395855,43.497311,250.0158561,32.564201,11.786759,3.2780805,94.030327,4.8065825,547876.69,4.9524355,57.46104,57.46104,100.0,95.691765,92.360184,70.874557,21.770828,20.356817,18.472769,14.361842,13.229314,21.793554,24.19693,32.875191,41.116177,41.025917,22.571337,0.91447002,22.746143,0.0,0.0,4.093976,1.2872443,51.12064646
shupiyan,30.927366,11.141948,8.0002785,55.533779,181.28055,5.6730933,543117.3383,5.1017284,62.957489,99.340874,90.06427,2.3679304,26.02178192,29.095163,6.968513,32.282417,128.43135,6.6325226,26408.74393,6.4297605,0.50165206,56.489891,14.184722,52.50753,1.5031718,150.6113214,46.833344,0.86475861,7.5833478,29.365086,6.1528082,5.7657442,102530.82,176.6331,4.1734347,52.849197,jammu & kashmir,18.93486,30.076265,1.8152254,9.0026388,82.149734,3.3959086,425032.0895,6.3103251,93.689674,4.9547601,58.315868,41.326855,0.35727912,80.406013,17.762375,71.591339,30.113873,32.52813,43.812077,134.2952821,30.927366,11.141948,8.0002785,92.413467,5.6730933,543117.31,5.1017284,62.957489,62.957489,98.733765,99.340874,90.06427,72.328773,19.158749,20.046831,19.71991,13.708485,23.929878,31.75897,39.145958,43.832268,50.378887,46.852062,24.252735,1.2972709,24.252735,0.0,0.0,10.729891,6.4704871,26.02178192
anantnag,31.032244,9.8209019,19.574156,38.584579,155.78256,30.424946,306403.9385,4.7189975,52.730644,97.986946,91.18605,2.5053129,103.6934484,29.620022,6.9414206,31.199432,128.65445,33.239029,22812.47297,5.9799957,0.47216558,56.621819,13.13027,46.249592,1.3769583,597.0996383,51.737354,1.1283547,7.3674855,29.828983,31.831987,5.3494968,64774.328,700.79309,2.8794813,27.128113,jammu & kashmir,23.132988,29.878786,1.6969427,8.4829645,75.340919,3.4378941,441878.0804,25.950617,74.049385,5.0668621,55.00803,43.883827,1.1081424,74.853958,34.475784,77.510292,27.93549,23.293814,50.829391,508.5895435,31.032244,9.8209019,19.574156,82.329628,30.424946,306403.94,4.7189975,52.730644,52.730644,96.545258,97.986946,91.18605,59.743233,27.510292,29.663185,29.868618,28.395203,27.244583,34.555126,36.26506,42.327656,57.015045,52.006878,17.344444,1.149254,17.344444,0.0,0.0,32.420185,6.499505,103.6934484
kulgam,30.422258,10.313273,12.222545,51.062099,167.52489,25.683975,45346.90749,5.3388014,55.532539,100.0,67.74353,2.1209102,52.5192664,29.168386,6.3276076,35.550491,121.50697,20.757822,5361.415439,6.2527509,0.49645233,56.42577,14.934453,46.170624,1.3967324,255.7053246,53.829376,0.72417772,7.0067368,29.382038,23.220898,5.7957764,12174.657,308.22458,3.9856658,46.017914,jammu & kashmir,39.182495,29.406267,1.5647972,7.6770091,71.85598,2.7421312,-9918.621808,18.953279,81.046722,5.5082426,57.75349,41.220016,1.0264868,60.817505,18.500544,80.142555,27.194553,20.466501,67.966339,240.2088661,30.422258,10.313273,12.222545,87.832108,25.683975,45346.906,5.3388014,55.532539,55.532539,100.0,100.0,67.74353,73.193344,62.767464,56.831669,55.187408,47.966679,48.978176,52.972176,53.036869,71.838951,25.329191,29.053825,14.935984,1.2546672,16.190651,0.0,0.0,13.401827,9.0362959,52.5192664
doda,29.411722,9.9997301,7.6515446,67.359207,166.6161,8.0323229,-134903.8387,5.1184721,53.98925,100.0,84.994171,1.4666842,50.18411684,29.351007,5.5781641,45.0961,110.12967,6.3417816,-29232.34496,5.8242111,0.67004067,68.631523,15.299357,45.110489,0.78971016,213.112642,54.889511,0.67697406,6.4209104,29.362579,7.1870522,5.4713416,-49373.234,263.29675,4.421566,56.486435,jammu & kashmir,35.785858,29.96545,1.5083743,7.5553079,70.820915,2.7368493,-13218.88367,7.6109896,92.389008,5.2137756,67.146896,30.881954,1.9711511,64.214142,10.074397,74.294693,29.898998,27.986877,75.093254,221.3144826,29.411722,9.9997301,7.6515446,86.521988,8.0323229,-134903.84,5.1184721,53.98925,53.98925,98.647484,100.0,84.994171,65.26577,57.427341,40.744232,35.016251,23.00106,15.319146,35.083458,54.972309,75.381233,55.610657,57.909626,14.192219,8.6774349,27.182171,5.5634556,3.0175383,20.028328,7.8106732,50.18411684
ramban,31.523802,9.6566429,10.050853,66.510544,163.31563,3.8492467,21186.14291,5.3345389,59.894188,99.387642,81.345245,1.7461351,38.65447113,28.839188,4.4579043,54.520668,88.863411,4.6694732,-33735.85549,5.8809099,0.7246874,67.842278,17.825838,46.403141,0.87704444,134.6908562,52.984501,0.86909068,5.617177,29.437832,4.2593598,5.6077242,-21488.736,173.34532,5.1987386,74.452217,jammu & kashmir,12.398613,29.50416,1.3375582,6.4247842,64.971817,2.3051553,-317976.4309,3.066314,96.933685,5.5968723,63.088673,35.102741,1.8085834,86.989029,18.12513,76.36441,28.079386,25.538483,63.756134,180.2850218,31.523802,9.6566429,10.050853,87.48143,3.8492467,21186.143,5.3345389,59.894188,59.894188,100.0,99.387642,81.345245,78.706566,39.216938,37.992241,42.778152,40.576431,35.836525,48.604393,37.890156,57.656223,52.890438,52.342808,20.142313,12.096125,31.050051,11.942324,10.12561,19.40781,3.9359522,38.65447113
kishtwar,32.307045,10.014453,15.194063,47.483154,157.66371,5.4484167,-4496.801003,4.9492774,60.113991,82.827278,79.430672,1.3414619,29.79463901,29.334351,5.509366,48.018272,101.39297,7.1389093,-9873.377795,5.7327828,0.67924041,69.144974,19.045929,54.925293,0.99547899,119.1582277,27.901985,0.34598291,6.4105062,29.92897,6.293663,5.3410301,-8797.916,148.95287,4.5050869,56.270737,jammu & kashmir,31.115021,30.475534,1.6089479,7.9209309,74.71357,2.8643355,42793.39658,6.4813137,93.518684,5.2493873,62.099724,36.053379,1.8468943,51.712257,17.371849,76.56604,38.739174,24.545725,42.06377,153.0845598,32.307045,10.014453,15.194063,82.803818,5.4484167,-4496.8008,4.9492774,60.113991,60.113991,100.0,82.827278,79.430672,57.187767,19.087807,17.768221,22.594145,12.549345,12.849821,22.640459,26.170795,35.257847,50.074715,49.866844,18.843401,5.3424377,24.226664,3.9595141,2.4762609,6.4254947,3.3931975,29.79463901
udhampur,32.901482,10.059517,8.7346134,56.907837,169.74429,14.342017,557990.438,5.1915174,65.90303,98.322716,81.617447,1.6951662,69.36402023,29.873613,6.9321494,28.161339,134.45807,15.493238,17973.60283,6.2536306,0.6617583,71.543594,17.589149,55.535339,1.048026,300.700276,42.787376,0.64714026,7.5183363,30.441151,14.917627,5.7225742,119193.15,370.0643,3.1273675,35.286224,jammu & kashmir,15.959061,29.926592,1.6557432,8.0254383,79.610641,3.21895,287009.1316,15.525497,84.474503,5.1918945,66.23838,31.935062,1.8265605,82.363655,24.777145,76.853355,29.783117,23.573923,48.407543,301.8878955,32.901482,10.059517,8.7346134,91.210953,14.342017,557990.44,5.1915174,65.90303,65.90303,100.0,98.322716,81.617447,71.56205,11.551723,12.767701,15.702577,9.5233088,14.246307,25.717064,32.818893,41.51432,29.685402,30.081999,26.010508,5.1817646,28.644108,30.421406,20.606569,4.4859829,1.012058,69.36402023
reasi,31.545387,9.6426792,13.990952,57.235748,156.37674,8.6764679,1491.303955,5.2264123,65.219955,97.454308,92.671295,1.8151559,36.49651022,29.035061,6.3805876,33.400364,124.96257,7.9691067,7198.582903,5.9991651,0.67892981,68.020073,15.747486,54.038334,1.1764112,203.5101888,43.415974,0.63874471,6.876636,29.416792,8.3227873,5.6127887,6330.708,240.0067,3.2620916,31.414169,jammu & kashmir,27.055199,29.456558,1.4897858,7.2688899,70.869156,2.6779823,-88738.51838,8.0593061,91.940697,5.2120161,67.744644,31.338137,0.91722095,70.399109,14.532961,74.065598,30.94434,26.844809,56.219357,172.2203264,31.545387,9.6426792,13.990952,82.501633,8.6764679,1491.304,5.2264123,65.219955,65.219955,100.0,97.454308,92.671295,77.516747,56.389881,32.502399,29.107269,18.302893,21.587402,40.197155,56.801571,67.395256,57.29388,59.901417,18.137867,6.8809814,27.82918,10.748215,2.1171312,15.798436,2.2027802,36.49651022
jammu,33.466682,11.846392,4.3654561,46.12418,183.84441,52.725327,1195125.663,4.7068934,66.753372,97.664276,89.643585,2.4555867,173.9677838,31.041904,9.3273401,13.911798,166.87199,47.798927,113321.8339,5.2252631,0.46178144,69.167152,11.210781,59.013695,1.35062,853.9147273,38.650581,1.1049666,9.753686,31.452295,50.262127,4.9660783,296415.72,1027.8826,2.5190516,16.972412,jammu & kashmir,10.109016,30.966784,2.1042876,10.692978,92.425072,4.4473,1155215.271,45.725895,54.274105,4.934792,65.972534,31.844946,2.1825159,87.55526,31.667053,66.508438,26.883636,36.950417,51.620205,926.4430797,33.466682,11.846392,4.3654561,95.934647,52.725327,1195125.6,4.7068934,66.753372,66.753372,100.0,97.664276,89.643585,81.360832,10.481708,13.258481,16.802519,7.132966,4.9054708,19.706541,17.898235,27.151007,56.311005,36.047104,20.054964,5.0336809,22.799086,39.478668,21.891209,5.3721023,8.2467957,173.9677838
samba,31.600874,11.208659,3.3465433,68.696129,189.66389,5.8509502,947615.0382,5.0192618,59.445065,99.129135,96.003273,1.7101963,38.7024992,30.902145,8.5335836,14.939831,159.02672,4.6311302,79047.61072,5.4891615,0.59839439,73.39679,14.66953,56.42141,1.1762377,169.6095844,42.707726,0.53395855,9.0305882,31.031963,5.2410402,5.2542114,240419.58,208.31209,2.6750755,30.637177,jammu & kashmir,10.219368,30.468079,1.8855588,9.4118109,86.665421,4.039145,849911.7484,5.4248052,94.575195,5.1369448,68.093246,30.85376,1.0529957,88.909767,26.760897,69.143944,28.496893,34.828827,67.079781,185.4147216,31.600874,11.208659,3.3465433,95.852264,5.8509502,947615.06,5.0192618,59.445065,59.445065,100.0,99.129135,96.003273,69.449081,24.915134,21.45183,18.807325,14.849204,8.3755598,39.608105,30.109383,43.730988,36.373199,38.285366,21.393023,2.1596229,22.820267,32.836784,18.802664,9.7015543,4.4390802,38.7024992
chamba,33.528923,9.6697531,5.4240122,53.1987,172.65329,6.8058066,87576.67644,5.144794,73.558014,98.904564,92.167953,1.6080387,44.4187783,30.317225,7.7422595,20.26313,143.78848,7.351316,45004.26221,5.4675775,0.54049081,70.251472,12.126133,63.816376,1.1364671,285.8888619,35.088188,0.47157156,8.0014629,30.749125,7.0785613,5.3061857,50729.273,330.30765,1.9274936,28.864807,himachal pradesh,29.156433,31.005077,1.6367918,8.2684813,82.934135,3.1341097,256862.0969,7.7876754,92.212326,4.8804188,72.903847,24.664616,2.4315367,69.748131,15.965775,62.884621,20.286341,41.855824,46.881725,265.9935975,33.528923,9.6697531,5.4240122,91.193619,6.8058066,87576.68,5.144794,73.558014,73.558014,94.595596,98.904564,92.167953,73.760445,0.82070243,7.5093441,5.6950531,1.2023745,0.93933475,4.6188397,14.547978,15.969868,33.273556,36.880608,8.5895004,19.470156,21.684044,27.732855,16.949671,10.718928,7.5749321,44.4187783
kangra,32.605892,10.19284,2.0001903,59.047478,168.85997,6.382288,649017.3821,4.6405001,59.102325,95.694145,96.511147,1.3577604,172.7316631,32.690659,10.080895,4.2828226,186.02765,3.3441405,83145.38061,5.1519694,0.4218612,76.78804,11.2214,75.477249,1.346665,832.4875408,20.216896,0.011095405,10.100131,32.676094,4.8632145,4.8962345,180381.89,1005.2192,0.1119442,-17.167679,himachal pradesh,19.608307,32.180405,2.0798612,10.609442,95.870399,3.8283606,718935.5366,5.0744138,94.925591,4.9286184,69.844093,26.662086,3.4938204,76.085838,11.716949,57.69553,23.359287,47.138054,51.052177,913.7836449,32.605892,10.19284,2.0001903,87.744316,6.382288,649017.38,4.6405001,59.102325,59.102325,97.03569,95.694145,96.511147,56.268597,2.7055411,3.6459327,2.4962556,0.71343666,1.4985036,3.4470763,6.4747214,11.138419,28.345474,27.452534,11.509557,20.884048,28.314621,36.457409,25.477272,7.7151241,14.401928,172.7316631
lahul & spiti,37.037498,10.038997,2.4983504,61.612572,179.76064,0.0,-59500.36139,4.2510748,77.460258,100.0,80.147728,1.580551,2.894390004,33.338741,8.4473181,16.825392,157.18539,0.0,2260.252882,5.0809417,0.42198923,72.845253,9.4668369,82.104179,1.2739825,11.46070205,17.895821,0.3065685,8.7682457,34.084515,0.0,4.666008,-10192.423,14.355092,1.5916786,22.575241,himachal pradesh,10.406158,34.417999,1.761014,8.9721737,86.344421,2.5219631,-142566.9172,0.0,100.0,4.1886892,79.869347,16.636644,3.4940109,89.593842,7.5750322,57.740326,18.128582,48.366402,61.71978,12.29501006,37.037498,10.038997,2.4983504,95.666275,0.0,-59500.363,4.2510748,77.460258,77.460258,89.623695,100.0,80.147728,80.262268,1.8433591,1.9066885,4.076714,1.8433591,0.87572861,1.9066885,2.8743188,4.076714,41.7584,44.458626,17.386427,24.176632,30.199455,46.768959,30.171505,4.452095,35.540154,2.894390004
